mu,ar1,ma1,omega,alpha1,beta1,shape,tick,ar2,ma2,ma3,gamma1,beta2,ar3,alpha2,gamma2,skew,eta11,eta21,ar4,label
0.000271081801585885,0.717610110842895,-0.873288205921634,5.42455559682635e-12,5.47041459042636e-05,0.999888141769856,4.42403984860071,BIO,0.0640324388440149,,,0.147547891339639,,0.0947028559810582,4.56617671694157e-05,-0.149705574544094,,,,,2013
0.00143372616563814,-0.133312147417277,,7.52660613210753e-08,5.60853690699796e-08,0.998999941623179,6.91523502822867,BK,,,,,,,,,,,,,2013
0.00210833164346719,0.0522518057807868,,5.72201705761144e-05,0.167681646280419,0.545799058387925,6.2097915607798,BKNG,-0.092830860829955,,,,,,,,,,,,2013
0.00201553248807672,0.0223761859691048,,1.11498781408236e-07,6.38244554614372e-09,0.998999981250464,13.4712402635924,BLK,0.0305408302617424,,,,,-0.172051851741461,,,,,,,2013
0.00160975386029286,,,1.1012903681885e-05,0.0738425907537908,0.870908700799723,6.03706511843853,BMY,,,,,,,,,,,,,2013
0.00201917885243524,0.0543404965238298,,2.20713031458954e-07,0.000108956812178588,0.998250733552821,3.75587043689078,BR,-0.10140181039849,,,,,,,,,,,,2013
0.00107637092013126,0.277063216023946,-0.4292699910344,4.43913110257204e-08,1.16360165982627e-08,0.998999987197904,10.2559038088097,BRK.B,,,,,,,,,,,,,2013
0.000916289014866946,0.0670571725069973,,1.9056305577051e-07,0.00315574001156411,0.999996979122728,7.41460349334417,BRO,,,,-0.0119096388776663,,,,,,,,,2013
0.00212615056535983,,,1.43247168071813e-07,6.15496714899208e-10,0.998999775084935,4.31683906538277,BSX,,,,,,,,,,,,,2013
0.00186415071634324,1.04606973582482,-0.999999988310713,1.44873788471138e-07,4.38248282210097e-11,0.998999982892223,11.5454845442049,BWA,-0.126636665631204,,,,,,,,,,,,2013
0.00352551115558286,0.0386355125807899,,5.22882717341024e-05,0.0605583786558202,0.793651718492788,8.06140074139481,BX,,,,,,,,,,,,,2013
1.57537400078354e-05,,,3.79943782110473e-06,0.0233447985583118,0.955112970384518,4.67725185331715,BXP,,,,,,,,,,,,,2013
0.000959820313099545,0.0300820954346285,,1.87466165224526e-13,0.0143463591496094,0.983301695506256,14.0544836413995,C,,,,,,,,,,,,,2013
0.00084161483745253,,,3.74605855256053e-07,1.97894511423748e-05,0.998536606640403,3.10526458944404,CAG,,,,,,,,,,,,,2013
0.00166131175645957,,,2.1589926690642e-07,5.92281306957736e-09,0.998999900966691,3.18201924346893,CAH,,,,,,,,,,,,,2013
7.84951006984785e-05,0.0875653871056233,,4.75355740983225e-15,4.62870700196496e-05,0.998693232292162,5.02498301482298,CAT,,,,,,,,,,,,,2013
0.00124147741050015,0.0252799203335004,,7.75485206991857e-08,2.57625736657275e-08,0.998999908526663,7.39482708990549,CB,,,,,,,,,,,,,2013
0.00271814627693137,-0.758103416589739,0.679550764256617,1.1322386010194e-05,0.120723628866959,0.818109562039291,4.72075199523112,CBOE,,,,,,,1.48884153700278e-08,,,,,,2013
0.000983088628013705,,,1.11428200881947e-07,7.3283425245606e-08,0.998999917178918,6.61225855308987,CBRE,,,,,,,,,,,,,2013
-0.000287113803266229,-0.0298190907839338,,9.11727106099451e-08,5.07791029109924e-09,0.998999991915037,5.26060703470584,CCI,,,,,,,,,,,,,2013
0.000865855234769297,0.0120513440886564,,1.12165905394913e-07,1.68439346030362e-09,0.998654047734242,3.48465916295566,CCL,,,,0.226355205311641,,,1.30544392498421e-09,-0.225663397883184,,,,,2013
0.000375489490916389,0.0828264081578636,,5.36164344606708e-07,6.08102436923947e-05,0.996508368181561,4.52257913674615,CDNS,-0.0281380433879661,,,,,,,,,,,,2013
0.000977826100597613,0.629104732670344,-0.610173491386231,1.03057305781892e-13,0.000102341290886276,0.997402165605397,4.96143990643846,CE,,-0.120615265362431,,,,,,,,,,,2013
-0.000249936272995628,,,7.02068611930452e-13,2.87500264329091e-06,0.998896239635125,3.5027549662624,CF,,,,,,,,,,,,,2013
0.00111846192259895,-0.0406745544079295,,1.16748538313108e-06,4.26648638334009e-05,0.987096478718825,7.16886375880467,CHD,,,,,,,,,,,,,2013
0.000977696491560766,,,8.64116587883012e-08,0.348157857418475,0.0337544455493548,3.24434952476919,CHRW,,,,,,,,,,0.999700380078518,0.0206000394740581,,2013
0.000146070095755292,-0.0482328114946788,,2.57685980938487e-05,0.00923610149284634,0.95685025997416,2.33440213718742,CHTR,,,,,,,,,,,,,2013
0.0024709011126025,-0.115832799159712,,0.000118637968578903,0.229242471729006,3.57968516847505e-08,11.0846697869546,CI,,,,,,,2.69941687329312e-11,,,,,,2013
0.0015442563360628,-0.0450620145045952,,1.21884222767572e-05,0.0668616440586679,0.790588830711662,12.7902039548945,CINF,,,,,,,,,,,,,2013
0.0010777483832511,-0.127509392021057,,2.59484179870381e-07,0.00113326293666838,0.999742731358905,5.40090518076694,CL,,,,0.110794960495981,,,0.000747513226365876,-0.118377323213163,,,,,2013
0.00136054102310389,-0.0984661373685225,,1.39397839487895e-07,1.12820402957782e-05,0.998979031902678,5.56804459974876,CLX,,,,,,,,,,,,,2013
0.00174284920336957,-0.0479748948005729,,1.84282037258161e-12,0.000228134235077743,0.998511337837508,8.26024358961305,CMA,,,,,,,,,,,,,2013
0.00115751741072755,-0.0307895512203236,,9.26025693852401e-08,6.79041094786218e-10,0.99899996827813,10.1149815731547,CMCSA,,,,,,,,,,,,,2013
0.00145155426852533,,,2.14037227744723e-07,1.00000712343637e-07,0.998999666015733,5.27234849147291,CME,,,,,,,,,,,,,2013
0.000836464241487601,,-0.125999537092501,1.29367247908058e-12,1.44727101368459e-05,0.997078568076476,3.10417438977613,CMG,,,,,,,,,,,,,2013
0.00195046105255101,0.0447493103089767,,3.68721158166448e-05,0.0881936291408982,0.721579242383565,5.30464882934234,CMI,,,,,,,,,,,,,2013
0.000827201957663259,,,3.23207156664161e-06,0.0669635873755532,0.892857285227365,14.9761447458119,CMS,,,,,,,,,,,,,2013
0.00116186267646499,-0.825513524998955,0.916060802641286,2.98572407064078e-07,2.30549743308895e-09,0.0790822397422105,4.53526386910904,CNC,,,,,0.919917505765878,,3.82562062728345e-08,,,,,,2013
0.000841248018793282,-0.165989474829991,,1.15839085758768e-07,5.13844535269498e-06,0.998994705816026,4.081032926921,CNP,,,,,,,,,,,,,2013
0.00128122763134538,-0.0687958053078262,,1.19782755151397e-11,0.00564707881631786,0.991135889500336,5.11620731754257,COF,,,,,,,,,,,,,2013
0.00121185682369971,-0.0274828463429802,,1.85172330925192e-07,1.08589326705643e-06,0.998996436505672,4.67381860512478,COO,,,,,,,,,,,,,2013
0.00134852019061697,-0.113280179516595,,6.64443972568114e-09,1.58227653481945e-05,0.998979937155714,8.36911197639829,COP,,,,,,,,,,,,,2013
0.0021024232333592,,-0.00399036807885248,5.91015948515029e-08,1.81783261817481e-05,0.998980052032568,7.05152080190954,COR,,-0.168651829293186,,,,,,,,,,,2013
0.000694511562030293,-0.0375949598080506,,5.94768715016713e-08,1.71615526307358e-09,0.998999992177291,14.6076417427883,COST,,,,,,,,,,,,,2013
0.00144824980634989,0.0287892366973349,,1.65008018736699e-06,4.65836839754105e-11,0.993620109054618,2.94544326384919,CPB,,,,,,,,,,,,,2013
0.00128914014334313,,,2.11740880493047e-07,0.000127966282790965,0.999990365746532,3.51809138909568,CPRT,,,,-0.0189803073314449,,,0.00464750890397376,0.00743463382331907,,,,,2013
-0.000111545344226803,,,5.21356802802123e-06,0.0886436811027802,0.885774323772626,7.2694126744722,CPT,,,,,,,,,,,,,2013
0.00136510563780432,0.960609591566715,-0.999998068357762,3.21022989011683e-10,0.0282781805244836,0.968837911928294,10.0679463110039,CRL,,,,,,,,,,,,,2013
0.00133290805022337,,,9.70651170429909e-07,5.16597297119277e-05,0.997525098992573,3.94940225335568,CRM,,,,,,,,,,,,,2013
0.000844433679864476,,,1.40436902442552e-07,1.68142908553083e-05,0.998573085213891,2.98135799884776,CSCO,,,,,,,,,,,,,2013
0.00219817392116735,-0.0131431237701709,,6.18519906251005e-07,0.000212822279140261,0.997155995754165,3.81408249192316,CSGP,-0.0655135715439727,,,,,,,,,,,,2013
0.00182379390481339,,,1.11666737389167e-12,0.0398242929034568,0.127876039564456,7.57741264527269,CSX,,,,,0.82807634769637,,,,,,,,2013
0.00185151668030876,-0.0827712166125775,,3.18548379693958e-10,2.62478965584292e-05,0.998954410182744,4.47190662939287,CTAS,,,,,,,,,,,,,2013
0.00201957681973035,,-0.125091410053849,6.03756086337233e-07,1.83469113249169e-07,0.998998520934849,3.99332778818285,CTRA,,,,,,,,,1.27483456919777,,,,2013
0.00164737919883375,-0.653305265367304,0.728166637666316,3.62832351334441e-05,0.171556125560275,0.673144223822656,6.8452413652811,CTSH,,,,,,,,,,,,,2013
0.00183623887855505,-0.0736747409951007,,1.05473496747274e-15,0.00010382200934138,0.996491707135554,14.6451566059157,CVS,,,,0.363541353176701,0.00669603053082947,,8.49335670079257e-05,-0.372346041776852,,,,,2013
0.00079730367401904,-0.0561908105930123,,5.78716731308726e-08,6.69115675418434e-09,0.99899998896973,13.6953378098375,CVX,,,,,,,,,,,,,2013
0.0011779517379201,-0.0795661544015282,,1.890397941874e-05,0.104381977197881,0.651922194182532,6.22430488515914,D,,,,,,,,,,,,,2013
