mu,omega,alpha1,beta1,shape,tick,gamma1,ar1,ar2,ar3,alpha2,skew,beta2,gamma2,ma1,ma2,eta11,eta21,ma3,ar4,ma4,ar5,label
0.0012999900116652,1.53473090345974e-07,1.89148344117038e-08,0.998999943264774,9.01707816751783,BEN,,,,,,,,,-0.0861178459677289,,,,,,,,2005
-7.47216638272346e-05,0.000202815400340263,1.08925063618051e-11,7.99295561727343e-07,10.4172279689166,BG,0.455755056207083,,,,,,,,,,,,,,,,2005
0.000578576749664513,8.34971715004466e-05,0.011416062954728,0.840806598051282,2.88243884217083,BIIB,,,,,,,,,,,,,,,,,2005
9.93833314871257e-05,3.85287404588818e-06,2.11893579096141e-08,0.999999933827907,2.69797519503039,BIO,0.628640462517036,,,,2.66462781144043e-08,,,-0.646389983058966,,,,,,,,,2005
-2.18123593634797e-05,5.06649578612451e-12,1.6058175065827e-05,0.998844427404486,6.64734841262839,BK,,,,,,,,,,,,,,,,,2005
-0.00268492212731098,8.50902483776441e-14,8.14390984048318e-06,0.998963548279398,2.7815173615863,BKNG,,,,,,,,,,,,,,,,,2005
0.000272515260885973,2.93981221632063e-05,0.0329728474178934,0.667855972430554,4.59445241599836,BLK,0.394363872398855,-0.0562186499340579,,,,,,,,,,,,,,,2005
-0.000348068201966025,5.59569008973288e-08,1.23171250288068e-07,0.998999782636624,22.2128583003751,BMY,,,,,,,,,,,,,,,,,2005
6.75848989350549e-05,3.32293224542756e-06,0.0471007257989086,0.905875709803225,4.01266557378849,BRK.B,,,,,,1.2146421751043,,,,,,,,,,,2005
0.000846654670142992,1.51426038706364e-07,2.67532749042914e-09,0.998999933969974,5.31683428134529,BRO,,-0.0902027998419002,,,,,,,,,,,,,,,2005
-0.00153253471981858,4.73789498863595e-07,2.61511049544765e-08,0.998999804711587,3.84701556104684,BSX,,-0.0211665751083315,-0.0979726703010115,,,,,,,,,,,,,,2005
0.000234830021405816,1.548070044888e-05,0.0540679732872206,0.868560987798733,9.82318967687507,BWA,,,,,,,,,,,,,,,,,2005
0.00167243507929001,4.35321150560269e-05,0.109244929992166,0.295037500017205,8.10478267700413,BXP,0.339644133650248,-0.722234292889648,0.088153470521835,,0.170849713356116,,,-0.152282731215932,0.854555021804636,,,,,,,,2005
0.000215486816797571,5.98847622970567e-14,7.00245383575711e-05,0.999954902105413,10.4095785324298,C,0.302893599149321,-0.361527597975257,-0.995836060657204,,8.76720097922854e-05,,,-0.305196158789847,0.377250692038304,1.00157670315217,,,,,,,2005
-0.00124536815055183,3.21172512180846e-05,0.107073882472957,0.645050687069437,5.27048954849267,CAG,,,,,5.12456418701242e-11,,,,,,,,,,,,2005
0.00084354546254743,3.64673355155459e-14,6.75823115802663e-05,0.998269563178973,6.04848933596144,CAH,,-0.103954416090104,-0.0393921792133625,,,,,,,,,,,,,,2005
0.00145096492744532,1.39426385243447e-07,2.3916212493115e-10,0.998999841521186,5.66724595131125,CAT,,,,,,,,,,,,,,,,,2005
0.000555021926421876,1.88980237248274e-05,0.109113570429148,0.745650747997715,6.05301399480687,CB,,,,,,,,,-0.162062612962961,,,,,,,,2005
0.00120384504246045,5.94833191869903e-07,4.29101555879588e-09,0.99899990256308,4.45907263969718,CBRE,,,,,,,,,,,,,,,,,2005
0.00150296884691639,3.02343419851836e-05,0.0813515550349443,5.10521904395433e-10,7.61678002346953,CCI,,,,,,,0.803570677020153,,,,,,,,,,2005
-0.000185917685922849,1.95236953214655e-07,1.13841722888624e-08,0.998999935179643,8.15803704531328,CCL,,,,,,1.07159073821504,,,,,,,,,,,2005
0.000718000728310703,1.56046559945512e-05,0.0988183049801206,0.792834849407814,7.15622221264847,CDNS,,,,,,,,,,,,,,,,,2005
-0.000230467267785837,1.06188293167396e-06,0.000118384968758265,0.999758293610792,4.27706349455188,CHD,0.402643709330268,-0.784383205480852,,,0.000119169322878632,1.11816578420081,,-0.415639946586802,0.686639020100639,,,,,,,,2005
0.000223637070598097,1.81524695311561e-05,0.0983398774184166,0.825532234434567,12.3519582685586,CHRW,,,,,,,,,,,,,,,,,2005
0.0013324604638832,1.33326277206728e-07,6.29152185093366e-09,0.998999947173099,4.89492894918375,CI,,-0.0975864865669206,,,6.12126805519161e-09,,,,,,,,,,,,2005
0.000164948238242859,1.16666154629864e-08,1.57283936793656e-07,0.998999833532432,19.7292722191574,CINF,,,,,,,,,,,,,,,,,2005
0.000148673221945959,3.14013937617561e-13,0.00548733568986394,0.992099008142402,8.96282434638688,CL,,-0.096618149494441,,,,,,,,,,,,,,,2005
0.000168459521995699,3.64188535472756e-13,3.06876641235947e-05,0.998754810584695,4.94237888864839,CLX,,,,,,,,,,,,,,,,,2005
