mu,omega,alpha1,beta1,shape,tick,ar1,ar2,ma1,ma2,alpha2,beta2,gamma1,ma3,skew,ar3,gamma2,ar4,eta11,eta21,ma4,ma5,label
-0.00109199247152956,9.60325706868504e-05,1.68669688853927e-08,0.999999822831476,2.74776765077172,BKNG,,,,,6.32998638252018e-09,,0.231760787379117,,,,-0.263224390442637,,,,,,2002
-0.00119737306998132,9.9024503165495e-07,1.85436085684573e-05,0.99789106544469,3.67881377693832,BLK,,,,,,,,,,,,,,,,,2002
-0.00148352974737649,1.73644807992709e-05,0.00394888643482977,0.98908681467032,2.63478533191233,BMY,,,,,,,,,,,,,,,,,2002
-0.000542655828236648,1.80314006296533e-05,0.171465602935616,0.741625009677481,5.94009771157753,BRK.B,,,,,,,,,,,,,,,,,2002
0.00054409482088463,3.62477712569987e-05,0.0909827856765921,0.840485431724186,22.7912860215345,BRO,,,,,,,,,,,,,,,,,2002
0.00149807339704508,5.20976239036968e-05,0.0917490145561287,0.834313257870737,4.354714491204,BSX,-0.0432852013155864,,,,,,,,,,,,,,,,2002
0.00054796935459219,9.20126086428728e-05,0.195726482504577,0.658283726062782,25.1867615113725,BWA,,,,,,,,,,,,,,,,,2002
0.000402953873257667,7.61695611694977e-06,0.190358222160231,0.743611721167032,12.2415167914325,BXP,,,0.0755605911945933,,,,,,,,,,,,,,2002
-0.00237927036793936,2.16351840434654e-05,7.76820841237449e-09,0.865463932621751,5.33373469502033,C,,,,,,,0.267072086494525,,,,,,,,,,2002
0.000354100252449638,1.89093342233876e-05,0.0700229209590535,0.645195763099134,7.59144412927176,CAG,,,,,0.238604952351163,,,,,,,,,,,,2002
-0.000534284707474505,1.36756878631198e-05,0.0975725242790254,0.884182162417242,5.05372362403262,CAH,,,,,,,,,,,,,,,,,2002
-0.000690934728289571,4.39320297183984e-05,0.0614329524845327,0.843641734518432,12.8872580150356,CAT,,,,,,,,,1.22757644703831,,,,,,,,2002
-0.00120968728964116,2.80615149057975e-05,0.173660489072943,0.770318653492621,6.55757231467689,CB,,,,,,,,,,,,,,,,,2002
-0.00782492314414268,0.000883773769660656,0.149930762100434,0.701550508943219,3.65766011621036,CCI,,,,,,,,,,,,,,,,,2002
-0.000865592886905745,1.58766912701444e-05,0.0571473362598796,0.902791604504851,13.3636162363912,CCL,,,,,0.0117283123806605,,,,,,,,,,,,2002
-0.00329668035227897,1.8817000395638e-05,0.051585746447378,0.941449561048699,5.40974563423285,CDNS,,,,,,,,,,,,,,,,,2002
0.000582561429096936,5.96673388848098e-07,2.95382575802477e-06,0.998830963236396,3.47569886760487,CHD,,,,,,,,,,,,,,,,,2002
