mu,ar1,ar2,ma1,ma2,omega,alpha1,beta1,shape,tick,skew,beta2,alpha2,gamma1,gamma2,ma3,ma4,ar3,eta11,eta21,ar4,ar5,ar6,label
-2.1595906245717e-05,,,-0.0834731610370517,,1.10413846788157e-07,6.53258105732281e-09,0.998999934595937,4.13321459210682,BALL,,,,,,,,,,,,,,2017
0.00179924978104138,,,-0.109161027454592,0.0862703774395615,1.01325834599885e-07,1.74785543116894e-08,0.998999977534101,4.22723384830544,BAX,,,,,,,,,,,,,,2017
0.000999380511418188,,,-0.0113944317906918,,2.47815566988853e-05,0.00189726442923735,0.985088079959155,2.34940725366642,BBWI,,,,,,,,,,,,,,2017
0.00160788500527982,-0.242299098422758,-0.964039537670431,0.19725947625392,0.938043470939769,7.59296309260912e-10,0.00431280911483383,0.994291327583735,2.85281439038805,BBY,0.794244436293445,,,,,,,,,,,,,2017
0.00139148785627536,,,,,3.6292405835028e-07,4.00369354992021e-08,0.998999945777163,2.78707340330407,BDX,1.1634322669042,,,,,,,,,,,,,2017
0.000610313790662235,-0.508900937243904,0.083988885400147,0.524891450628807,,2.39622240754241e-09,3.15138410338585e-09,0.998999989449578,6.21630507018314,BEN,,,,,,,,,,,,,,2017
-0.000532425612169131,,,,,7.34503121036422e-07,0.00406751238498829,0.990877641428141,2.60536508245653,BG,,,,,,,,,,,,,,2017
0.00161168518808447,,,,,1.11286660184668e-05,1.31322986403293e-06,0.97777609179839,5.747540548427,BIIB,,,,-0.0532594038259141,,,,,,,,,,2017
0.000545890405199119,,,,,5.41785815790868e-06,2.60833008440238e-09,0.99178403980352,2.25354311581804,BIO,,,,,,,,,,,,,,2017
0.000869454794921827,,,,,2.38942134776758e-08,1.48288327827153e-09,0.998999997583671,4.90268793632331,BK,,,,,,,,,,,,,,2017
0.0014576078715331,,,,,6.51767947278262e-06,2.71440576999449e-09,0.98386710309935,2.17307435569017,BKNG,,,,,,,,,,,,,,2017
0.00122109198351318,-0.0475774020580036,-0.115026533253851,,,4.92839084200841e-08,1.2135436081591e-08,0.998999969742874,9.07525381973284,BLK,,,,,,,,,,,,,,2017
0.00138056124737307,-1.87427056983925,-0.95255972063077,1.90413551500226,0.984872536947754,4.00613248436042e-05,0.0878384066843396,0.710474294967233,2.95824812671195,BMY,,,,,,,,,,,,,,2017
0.00139408911074194,,,-0.125589061091714,,1.31498466047536e-05,0.16440933822523,0.693723972319707,4.35791565757769,BR,1.12012737399875,,,,,,,,,,,,,2017
0.00057703886812886,,,,,4.57495350054806e-08,1.29653954058012e-08,0.998999979480585,6.82863168816638,BRK.B,,,,,,,,,,,,,,2017
0.000490831066774365,,,,,3.9465991346166e-08,0.0690575447879322,0.549230832629819,8.54670703712053,BRO,,,,,,,,,0.999384545073078,0.00285032274170648,,,,2017
0.000649543293528806,-0.198922290869383,,0.0786879689666081,,3.1717506093004e-05,1.80473685469089e-10,0.666877990929471,3.48632673061792,BSX,,,,0.118028918388134,,,,,,,,,,2017
0.00172708741205559,,,,,6.21785661369179e-06,0.0156231873506102,0.956485203465772,4.02159617596655,BWA,,,,,,,,,,,,,,2017
6.52009181266354e-05,0.102511764240135,-0.0109835800789462,,,2.50318077579598e-07,7.03092418001651e-05,0.996540266426225,4.76909819483275,BX,,,,,,,,-0.00455902893764224,,,,,,2017
0.000518332260601591,0.0303350203997785,0.0265721316706679,,,4.91989388104486e-08,5.42396591417235e-08,0.998999877079123,7.56816216934715,BXP,,,,,,,,,,,,,,2017
0.000665244891646322,0.0918346969599552,,,,2.87342570277604e-08,4.68684298444794e-07,0.998998793322402,7.8999913199788,C,,,,,,,,,,,,,,2017
0.000261315628509736,,,,,7.80377212546356e-07,0.0376968617956678,0.961302999062259,4.11766437058096,CAG,,,,,,,,,,,,,,2017
0.000582128588358776,-0.00107030322534882,,,,7.62825379036316e-07,1.35498773431214e-08,0.998999961956587,2.62641302383563,CAH,,,,,,,,,,,,,,2017
0.00185466144369656,,,,,8.44996894919037e-13,3.3295993314763e-05,0.997845606576419,4.1069228783205,CAT,,,,,,,,,,,,,,2017
0.000495159474950557,,,,,2.82216312957262e-05,0.168965117230821,0.375748191400432,5.79565527718072,CB,,,,,,,,,,,,,,2017
0.00205513552918398,-0.204909277184045,-0.0227745748204923,,,7.52444673713048e-08,0.00225676843630903,0.999514647022669,7.91168282123466,CBOE,,,0.0266470123658206,0.0936351174913736,-0.155166077795439,,,,,,,,,2017
0.00153799532166484,0.8931010272947,-0.968875241807323,-0.913551269967164,0.996683430931041,7.11224308953229e-09,0.0112316199397909,0.984452030182595,6.65991434684125,CBRE,,,,,,,,-0.0359466104516923,,,,,,2017
0.000986674177284647,,,,,8.34955556387449e-08,2.56189085023142e-09,0.998999962643967,4.66300850464298,CCI,,,,,,,,,,,,,,2017
0.00153097718173179,,,,,3.22597101873652e-06,0.0403758882625094,0.931743535783342,6.32155994292293,CCL,,,,,,,,,,,,,,2017
0.00213515781288725,,,,,3.70739288029349e-07,9.27872383099816e-10,0.998999924651456,2.76813449588579,CDNS,,,,,,,,,,,,,,2017
